video_path_A,categ_A,subj_A,video_path_B,categ_B,subj_B
mug_pre2_test/4/user014_take000_01,4,7,mug_pre2_test/2/user044_take000_07,2,25
mug_pre2_test/4/user052_take002_04,4,30,mug_pre2_test/5/user028_take001_04,5,12
mug_pre2_test/2/user030_take001_00,2,13,mug_pre2_test/2/user030_take002_02,2,13
mug_pre2_test/1/user027_take001_02,1,11,mug_pre2_test/3/user040_take003_04,3,22
mug_pre2_test/5/user032_take002_03,5,15,mug_pre2_test/5/user038_take002_00,5,20
mug_pre2_test/5/user048_take001_02,5,28,mug_pre2_test/5/user013_take001_03,5,6
mug_pre2_test/2/user033_take003_09,2,16,mug_pre2_test/2/user020_take000_00,2,9
mug_pre2_test/3/user033_take002_03,3,16,mug_pre2_test/1/user044_take001_10,1,25
mug_pre2_test/0/user044_take002_00,0,25,mug_pre2_test/0/user007_take002_01,0,3
mug_pre2_test/2/user052_take001_04,2,30,mug_pre2_test/4/user046_take001_03,4,27
mug_pre2_test/4/user007_take000_03,4,3,mug_pre2_test/5/user007_take002_00,5,3
mug_pre2_test/2/user073_take000_02,2,42,mug_pre2_test/1/user013_take001_04,1,6
mug_pre2_test/5/user021_take001_02,5,10,mug_pre2_test/0/user044_take000_12,0,25
mug_pre2_test/4/user030_take001_00,4,13,mug_pre2_test/5/user065_take003_02,5,37
mug_pre2_test/2/user001_take003_03,2,0,mug_pre2_test/2/user033_take000_03,2,16
mug_pre2_test/0/user074_take001_02,0,43,mug_pre2_test/0/user038_take002_00,0,20
mug_pre2_test/3/user033_take000_02,3,16,mug_pre2_test/2/user044_take001_00,2,25
mug_pre2_test/4/user048_take000_04,4,28,mug_pre2_test/2/user052_take000_01,2,30
mug_pre2_test/5/user075_take004_06,5,44,mug_pre2_test/2/user052_take001_02,2,30
mug_pre2_test/0/user076_take002_00,0,45,mug_pre2_test/1/user038_take001_01,1,20
mug_pre2_test/2/user055_take000_01,2,31,mug_pre2_test/2/user008_take002_02,2,4
mug_pre2_test/4/user044_take002_02,4,25,mug_pre2_test/4/user046_take000_09,4,27
mug_pre2_test/0/user027_take002_02,0,11,mug_pre2_test/4/user031_take002_02,4,14
mug_pre2_test/0/user045_take003_01,0,26,mug_pre2_test/4/user075_take003_05,4,44
mug_pre2_test/4/user071_take002_02,4,40,mug_pre2_test/2/user033_take003_04,2,16
mug_pre2_test/0/user046_take002_02,0,27,mug_pre2_test/0/user078_take001_05,0,47
mug_pre2_test/5/user064_take000_04,5,36,mug_pre2_test/2/user030_take003_00,2,13
mug_pre2_test/5/user075_take004_07,5,44,mug_pre2_test/2/user040_take001_03,2,22
mug_pre2_test/1/user045_take000_01,1,26,mug_pre2_test/1/user042_take002_01,1,23
mug_pre2_test/3/user040_take002_01,3,22,mug_pre2_test/0/user030_take002_05,0,13
mug_pre2_test/0/user064_take003_03,0,36,mug_pre2_test/1/user008_take001_00,1,4
mug_pre2_test/5/user063_take005_01,5,35,mug_pre2_test/0/user021_take001_01,0,10
mug_pre2_test/2/user052_take000_00,2,30,mug_pre2_test/2/user044_take001_08,2,25
mug_pre2_test/2/user033_take003_08,2,16,mug_pre2_test/1/user001_take001_04,1,0
mug_pre2_test/5/user065_take001_01,5,37,mug_pre2_test/1/user033_take002_05,1,16
mug_pre2_test/0/user079_take004_04,0,48,mug_pre2_test/2/user046_take002_01,2,27
mug_pre2_test/5/user052_take002_00,5,30,mug_pre2_test/5/user038_take001_00,5,20
mug_pre2_test/4/user075_take001_02,4,44,mug_pre2_test/4/user052_take000_00,4,30
mug_pre2_test/4/user033_take005_04,4,16,mug_pre2_test/2/user044_take000_08,2,25
mug_pre2_test/0/user040_take000_00,0,22,mug_pre2_test/0/user036_take005_07,0,18
mug_pre2_test/4/user046_take000_02,4,27,mug_pre2_test/2/user072_take001_05,2,41
mug_pre2_test/4/user007_take001_02,4,3,mug_pre2_test/1/user079_take003_02,1,48
mug_pre2_test/0/user008_take001_04,0,4,mug_pre2_test/5/user007_take000_00,5,3
mug_pre2_test/2/user045_take003_02,2,26,mug_pre2_test/1/user014_take001_03,1,7
mug_pre2_test/2/user075_take002_00,2,44,mug_pre2_test/1/user075_take002_02,1,44
mug_pre2_test/1/user014_take001_06,1,7,mug_pre2_test/1/user028_take002_04,1,12
mug_pre2_test/3/user033_take002_00,3,16,mug_pre2_test/3/user048_take001_00,3,28
mug_pre2_test/2/user007_take001_04,2,3,mug_pre2_test/0/user062_take002_04,0,34
mug_pre2_test/5/user066_take001_05,5,38,mug_pre2_test/2/user020_take002_02,2,9
mug_pre2_test/3/user036_take001_00,3,18,mug_pre2_test/3/user071_take002_05,3,40
mug_pre2_test/4/user055_take001_03,4,31,mug_pre2_test/0/user038_take001_03,0,20
mug_pre2_test/0/user045_take001_03,0,26,mug_pre2_test/5/user073_take002_03,5,42
mug_pre2_test/2/user030_take002_01,2,13,mug_pre2_test/2/user044_take001_14,2,25
mug_pre2_test/2/user083_take000_00,2,50,mug_pre2_test/0/user072_take003_00,0,41
mug_pre2_test/1/user064_take002_00,1,36,mug_pre2_test/1/user055_take002_00,1,31
mug_pre2_test/0/user036_take002_05,0,18,mug_pre2_test/1/user072_take002_01,1,41
mug_pre2_test/5/user044_take002_11,5,25,mug_pre2_test/4/user048_take000_01,4,28
mug_pre2_test/3/user061_take005_01,3,33,mug_pre2_test/2/user017_take000_02,2,8
mug_pre2_test/3/user076_take001_01,3,45,mug_pre2_test/4/user044_take004_08,4,25
mug_pre2_test/3/user021_take001_00,3,10,mug_pre2_test/1/user039_take001_01,1,21
mug_pre2_test/2/user030_take000_03,2,13,mug_pre2_test/0/user079_take003_04,0,48
mug_pre2_test/4/user078_take002_01,4,47,mug_pre2_test/2/user045_take003_01,2,26
mug_pre2_test/2/user036_take000_01,2,18,mug_pre2_test/5/user042_take003_01,5,23
mug_pre2_test/1/user044_take000_07,1,25,mug_pre2_test/5/user044_take001_10,5,25
mug_pre2_test/3/user036_take000_03,3,18,mug_pre2_test/1/user014_take001_08,1,7
mug_pre2_test/4/user046_take000_05,4,27,mug_pre2_test/2/user082_take004_03,2,49
mug_pre2_test/3/user030_take003_03,3,13,mug_pre2_test/5/user065_take001_00,5,37
mug_pre2_test/1/user066_take001_01,1,38,mug_pre2_test/5/user008_take000_02,5,4
mug_pre2_test/5/user048_take001_07,5,28,mug_pre2_test/2/user037_take000_02,2,19
mug_pre2_test/3/user037_take001_01,3,19,mug_pre2_test/3/user043_take003_03,3,24
mug_pre2_test/2/user076_take000_02,2,45,mug_pre2_test/0/user060_take002_00,0,32
mug_pre2_test/4/user033_take003_03,4,16,mug_pre2_test/4/user046_take001_05,4,27
mug_pre2_test/3/user040_take002_03,3,22,mug_pre2_test/0/user036_take004_04,0,18
mug_pre2_test/4/user031_take002_04,4,14,mug_pre2_test/0/user082_take002_01,0,49
mug_pre2_test/1/user013_take001_00,1,6,mug_pre2_test/5/user075_take003_02,5,44
