path_A,speaker_id_A,yt_id_A,vid_id_A,path_B,speaker_id_B,yt_id_B,vid_id_B
data/Edward_Asner/1.6/R_h7875g_PI/8,16,R_h7875g_PI,8,data/Eoin_Macken/1.6/TnOGBL8p-RM/2,1015,TnOGBL8p-RM,2
data/Ernest_Borgnine/1.6/8EDKH42GZ1o/25,650,8EDKH42GZ1o,25,data/Eddie_McClintock/1.6/CVUXDNZzcmA/6,699,CVUXDNZzcmA,6
data/Elaine_Cassidy/1.6/9AtE4C309P8/5,491,9AtE4C309P8,5,data/Emile_Hirsch/1.6/HYiqXC0B3iY/29,158,HYiqXC0B3iY,29
data/Evanna_Lynch/1.6/ygGJs_Rh7ds/5,1129,ygGJs_Rh7ds,5,data/Esai_Morales/1.6/K2_D_tFdAgY/27,437,K2_D_tFdAgY,27
data/Erin_Andrews/1.6/z1ZWYfCuRKY/1,919,z1ZWYfCuRKY,1,data/Edward_Asner/1.6/Pp-rAswo4Xg/8,16,Pp-rAswo4Xg,8
data/Elaine_Hendrix/1.6/ni6gO5jDLJE/10,781,ni6gO5jDLJE,10,data/Edward_Asner/1.6/DSGE2F5sTcg/23,16,DSGE2F5sTcg,23
data/Emily_Atack/1.6/7lrVxsJOOZ4/1,871,7lrVxsJOOZ4,1,data/Eva_Longoria/1.6/Zftj0BQFRdY/4,716,Zftj0BQFRdY,4
data/Edgar_Wright/1.6/FDhJhEu0JUM/14,943,FDhJhEu0JUM,14,data/Eli_Wallach/1.6/YN4cTBWM-QE/4,770,YN4cTBWM-QE,4
data/Esai_Morales/1.6/K2_D_tFdAgY/9,437,K2_D_tFdAgY,9,data/Ernest_Borgnine/1.6/SQzWyPhRqmk/12,650,SQzWyPhRqmk,12
data/Eoin_Macken/1.6/Mp1IXRquJ9s/12,1015,Mp1IXRquJ9s,12,data/Eoin_Macken/1.6/rZQMeH1FCvM/1,1015,rZQMeH1FCvM,1
data/Ellen_Burstyn/1.6/bP0bKbQQlzc/1,268,bP0bKbQQlzc,1,data/Eddie_McClintock/1.6/QjrBKqx_Xeo/6,699,QjrBKqx_Xeo,6
data/Elle_Fanning/1.6/Qkll9n7U5ak/12,1119,Qkll9n7U5ak,12,data/Eartha_Kitt/1.6/8jEAjG6SegY/11,365,8jEAjG6SegY,11
data/Ernest_Borgnine/1.6/TMBdUkVfwOg/1,650,TMBdUkVfwOg,1,data/Ezra_Miller/1.6/pwfqGqgezH4/1,106,pwfqGqgezH4,1
data/Emile_Hirsch/1.6/cIi74VD0LF0/1,158,cIi74VD0LF0,1,data/Edward_Asner/1.6/iEAqbqZ7dDg/12,16,iEAqbqZ7dDg,12
data/Edward_Asner/1.6/Pp-rAswo4Xg/34,16,Pp-rAswo4Xg,34,data/Eric_Roberts/1.6/o1EKUvjvNHY/2,687,o1EKUvjvNHY,2
data/Ellen_Wong/1.6/CGFR9WP0Rno/1,1156,CGFR9WP0Rno,1,data/Eugene_Levy/1.6/JQtDfEz08aU/34,166,JQtDfEz08aU,34
data/Eleanor_Tomlinson/1.6/s4X9cwCCnFo/5,906,s4X9cwCCnFo,5,data/Ernie_Hudson/1.6/VIAnMw7J5tI/7,1132,VIAnMw7J5tI,7
data/Eleanor_Tomlinson/1.6/YmJBoCojXf4/3,906,YmJBoCojXf4,3,data/Eva_Green/1.6/SBO7kM1IPaY/10,833,SBO7kM1IPaY,10
data/Ed_Westwick/1.6/PMWQqW_ia58/1,844,PMWQqW_ia58,1,data/Esai_Morales/1.6/K2_D_tFdAgY/7,437,K2_D_tFdAgY,7
data/Eugene_Levy/1.6/hDBMV_0Vz4E/8,166,hDBMV_0Vz4E,8,data/Eli_Roth/1.6/gAKHqHbNt2g/10,753,gAKHqHbNt2g,10
data/Edward_Asner/1.6/qN6dBTlT3HA/2,16,qN6dBTlT3HA,2,data/Ellen_Burstyn/1.6/I99R40TUF1s/18,268,I99R40TUF1s,18
data/Eugenio_Derbez/1.6/Piw0wvQbpnQ/4,1066,Piw0wvQbpnQ,4,data/Eric_Roberts/1.6/FvbLoirHpx0/2,687,FvbLoirHpx0,2
data/Eric_Dane/1.6/WxDEVkQKPow/3,983,WxDEVkQKPow,3,data/Edgar_Wright/1.6/HrA2BLcLApA/25,943,HrA2BLcLApA,25
data/Eleanor_Tomlinson/1.6/IDA_ElNHLn4/1,906,IDA_ElNHLn4,1,data/Eugene_Levy/1.6/zV7LlMi0eHo/11,166,zV7LlMi0eHo,11
data/Eoin_Macken/1.6/nAtqrkWKIhM/5,1015,nAtqrkWKIhM,5,data/Elle_Fanning/1.6/lBkbWztMEUY/4,1119,lBkbWztMEUY,4
data/Ezra_Miller/1.6/XMLMvfrgdzY/5,106,XMLMvfrgdzY,5,data/Eva_Green/1.6/QRMq4DnyM3I/4,833,QRMq4DnyM3I,4
data/Elaine_Hendrix/1.6/FL2UicCNcwI/3,781,FL2UicCNcwI,3,data/Eddie_Kaye_Thomas/1.6/wH6ebv-K8AA/3,865,wH6ebv-K8AA,3
data/Eric_Braeden/1.6/1l9B0dz7gjc/5,364,1l9B0dz7gjc,5,data/Eli_Roth/1.6/S-dgypZHvhg/5,753,S-dgypZHvhg,5
data/Erin_Andrews/1.6/uaPd2Ix-wSI/6,919,uaPd2Ix-wSI,6,data/Ernie_Hudson/1.6/AeRSD9jIdSg/4,1132,AeRSD9jIdSg,4
data/Eugenio_Derbez/1.6/nJbBcMdxQU4/9,1066,nJbBcMdxQU4,9,data/Emraan_Hashmi/1.6/gm6PJowclv0/22,457,gm6PJowclv0,22
data/Eoin_Macken/1.6/CvoEw4AJj6c/3,1015,CvoEw4AJj6c,3,data/Emraan_Hashmi/1.6/YvmWRnJnTz0/9,457,YvmWRnJnTz0,9
data/Eva_Longoria/1.6/120gjdqGWNQ/8,716,120gjdqGWNQ,8,data/Elle_Fanning/1.6/lBkbWztMEUY/6,1119,lBkbWztMEUY,6
data/Eugenio_Derbez/1.6/nJbBcMdxQU4/8,1066,nJbBcMdxQU4,8,data/Eoin_Macken/1.6/g2jVmC3qCNA/3,1015,g2jVmC3qCNA,3
data/Eric_Roberts/1.6/31XtFWtF7Sc/2,687,31XtFWtF7Sc,2,data/Elisabeth_Moss/1.6/thghCiJZYwI/13,587,thghCiJZYwI,13
data/Evanna_Lynch/1.6/XQWpVt5n3Ic/10,1129,XQWpVt5n3Ic,10,data/Eli_Roth/1.6/clznvDi-ybg/10,753,clznvDi-ybg,10
data/Eric_Braeden/1.6/VweNonqOdrE/4,364,VweNonqOdrE,4,data/Eli_Roth/1.6/GcHWzqveqyc/4,753,GcHWzqveqyc,4
data/Emraan_Hashmi/1.6/0H91VC07Q3s/4,457,0H91VC07Q3s,4,data/Eddie_Izzard/1.6/ZpPPaMazpf0/11,113,ZpPPaMazpf0,11
data/Edgar_Wright/1.6/AeZoMAJ4Ejs/12,943,AeZoMAJ4Ejs,12,data/Emile_Hirsch/1.6/A3QwQ3D35rc/7,158,A3QwQ3D35rc,7
data/Eddie_Izzard/1.6/Ed918auNI0Y/5,113,Ed918auNI0Y,5,data/Esai_Morales/1.6/ekqJava7sdE/2,437,ekqJava7sdE,2
data/Eugenio_Derbez/1.6/3QrLepYlH6o/6,1066,3QrLepYlH6o,6,data/Eddie_Griffin/1.6/0qqQJVFKpbA/5,1014,0qqQJVFKpbA,5
data/Ernest_Borgnine/1.6/7byARrJfhlI/12,650,7byARrJfhlI,12,data/Eva_Green/1.6/XcXDiYWIS6E/1,833,XcXDiYWIS6E,1
data/Eddie_Izzard/1.6/8cfyJEV7hP8/14,113,8cfyJEV7hP8,14,data/Eoin_Macken/1.6/g2jVmC3qCNA/5,1015,g2jVmC3qCNA,5
data/Elisabeth_Moss/1.6/Zdmm9Mrr8Ts/4,587,Zdmm9Mrr8Ts,4,data/Ernest_Borgnine/1.6/fAe7DXqrZls/3,650,fAe7DXqrZls,3
data/Erin_Andrews/1.6/SX-117N_MoI/6,919,SX-117N_MoI,6,data/Erin_Andrews/1.6/HcyUmRYz-aE/1,919,HcyUmRYz-aE,1
data/Eddie_Izzard/1.6/hW0Q6eHqN-U/6,113,hW0Q6eHqN-U,6,data/Erik_Estrada/1.6/hjvQiiG71rM/18,1106,hjvQiiG71rM,18
data/Ellen_Burstyn/1.6/bP0bKbQQlzc/2,268,bP0bKbQQlzc,2,data/Eugenio_Derbez/1.6/Piw0wvQbpnQ/7,1066,Piw0wvQbpnQ,7
data/Eva_Green/1.6/ehwAeTUqH0s/8,833,ehwAeTUqH0s,8,data/Edgar_Wright/1.6/5YncBThNd5E/3,943,5YncBThNd5E,3
data/Eddie_Izzard/1.6/prqT1CcDqMc/11,113,prqT1CcDqMc,11,data/Emile_Hirsch/1.6/T1y64qFjv3M/6,158,T1y64qFjv3M,6
data/Emraan_Hashmi/1.6/N8_clYCM9n8/4,457,N8_clYCM9n8,4,data/Elodie_Yung/1.6/VIELknoQMyo/2,270,VIELknoQMyo,2
data/Eartha_Kitt/1.6/5r0dWxy17C8/10,365,5r0dWxy17C8,10,data/Eoin_Macken/1.6/r4aP67VNNrc/1,1015,r4aP67VNNrc,1
data/Eli_Wallach/1.6/Uzxv7Axh3Z8/4,770,Uzxv7Axh3Z8,4,data/Erik_Estrada/1.6/Cjt5DP6qc5Q/3,1106,Cjt5DP6qc5Q,3
data/Elle_Fanning/1.6/7I1GtGzVfmw/15,1119,7I1GtGzVfmw,15,data/Eddie_Kaye_Thomas/1.6/wH6ebv-K8AA/6,865,wH6ebv-K8AA,6
data/Edward_Asner/1.6/fvX1Vtx3sNo/2,16,fvX1Vtx3sNo,2,data/Emraan_Hashmi/1.6/ya6VNZp-pXw/29,457,ya6VNZp-pXw,29
data/Elle_Fanning/1.6/Qkll9n7U5ak/10,1119,Qkll9n7U5ak,10,data/Eugenio_Derbez/1.6/3QrLepYlH6o/16,1066,3QrLepYlH6o,16
data/Estelle_Harris/1.6/Zs8VK91yVMI/10,518,Zs8VK91yVMI,10,data/Emraan_Hashmi/1.6/ya6VNZp-pXw/10,457,ya6VNZp-pXw,10
data/Eric_Braeden/1.6/dYC_mN16I_k/2,364,dYC_mN16I_k,2,data/Ezra_Miller/1.6/rxnN8thYzEQ/8,106,rxnN8thYzEQ,8
data/Edgar_Wright/1.6/HrA2BLcLApA/19,943,HrA2BLcLApA,19,data/Emraan_Hashmi/1.6/57KbI2UvGss/17,457,57KbI2UvGss,17
data/Eoin_Macken/1.6/rZQMeH1FCvM/2,1015,rZQMeH1FCvM,2,data/Ellen_Burstyn/1.6/I99R40TUF1s/17,268,I99R40TUF1s,17
data/Eli_Roth/1.6/cmG1DiHm-fM/4,753,cmG1DiHm-fM,4,data/Elaine_Cassidy/1.6/PQBBKBYGWgU/8,491,PQBBKBYGWgU,8
data/Eva_Green/1.6/2SaEbN8hYz4/11,833,2SaEbN8hYz4,11,data/Ezra_Miller/1.6/0cYFdtyWVds/5,106,0cYFdtyWVds,5
data/Eoin_Macken/1.6/vD3qGRbmXws/5,1015,vD3qGRbmXws,5,data/Eli_Roth/1.6/j5ArtKwbobY/1,753,j5ArtKwbobY,1
data/Eli_Roth/1.6/vaK4t1-WD4M/17,753,vaK4t1-WD4M,17,data/Eric_Roberts/1.6/2eJ33J6xFVM/1,687,2eJ33J6xFVM,1
data/Ezra_Miller/1.6/rqaAm4bEsXc/8,106,rqaAm4bEsXc,8,data/Esai_Morales/1.6/VRCidrXwd1s/17,437,VRCidrXwd1s,17
data/Eva_Green/1.6/kQOkcEZUpJ4/3,833,kQOkcEZUpJ4,3,data/Ezra_Miller/1.6/V_tzoDBiP8A/1,106,V_tzoDBiP8A,1
data/Edgar_Wright/1.6/5YncBThNd5E/27,943,5YncBThNd5E,27,data/Erin_Andrews/1.6/IwB3vu418E4/7,919,IwB3vu418E4,7
data/Elaine_Cassidy/1.6/9AtE4C309P8/13,491,9AtE4C309P8,13,data/Emraan_Hashmi/1.6/azw51ZGuz9k/5,457,azw51ZGuz9k,5
data/Emily_Atack/1.6/oLJhH76d0kU/4,871,oLJhH76d0kU,4,data/Eli_Roth/1.6/vaK4t1-WD4M/25,753,vaK4t1-WD4M,25
data/Eoin_Macken/1.6/8lGvPwJszxI/2,1015,8lGvPwJszxI,2,data/Eddie_Kaye_Thomas/1.6/YCIIiIR9B60/1,865,YCIIiIR9B60,1
data/Emraan_Hashmi/1.6/57KbI2UvGss/20,457,57KbI2UvGss,20,data/Eli_Roth/1.6/clznvDi-ybg/6,753,clznvDi-ybg,6
data/Eric_Braeden/1.6/oTRparDs-84/3,364,oTRparDs-84,3,data/Eva_Green/1.6/wHmbXYotPCg/1,833,wHmbXYotPCg,1
data/Eugenio_Derbez/1.6/t0EX2dOBQjw/2,1066,t0EX2dOBQjw,2,data/Eugenio_Derbez/1.6/lZH9MOxJqtA/1,1066,lZH9MOxJqtA,1
data/Eli_Wallach/1.6/RNYNkXzY5Hk/22,770,RNYNkXzY5Hk,22,data/Erik_Estrada/1.6/6qFnVechX9o/17,1106,6qFnVechX9o,17
data/Ezra_Miller/1.6/GyJHpVQmcvc/1,106,GyJHpVQmcvc,1,data/Erin_Andrews/1.6/HcyUmRYz-aE/3,919,HcyUmRYz-aE,3
data/Eugene_Levy/1.6/JQtDfEz08aU/14,166,JQtDfEz08aU,14,data/Eli_Roth/1.6/j5ArtKwbobY/14,753,j5ArtKwbobY,14
data/Efren_Ramirez/1.6/PQHz4fGHPK8/1,915,PQHz4fGHPK8,1,data/Elaine_Cassidy/1.6/PQBBKBYGWgU/5,491,PQBBKBYGWgU,5
data/Erik_Estrada/1.6/SCYPNx1H2pM/1,1106,SCYPNx1H2pM,1,data/Erik_Estrada/1.6/U_1vfIVOigA/10,1106,U_1vfIVOigA,10
data/Elisabeth_Moss/1.6/d-ZEojJk-rs/5,587,d-ZEojJk-rs,5,data/Edgar_Wright/1.6/5YncBThNd5E/2,943,5YncBThNd5E,2
data/Elle_Fanning/1.6/isKyMAYUOgg/6,1119,isKyMAYUOgg,6,data/Edward_Asner/1.6/QOq66XogW3Q/11,16,QOq66XogW3Q,11
data/Estelle_Harris/1.6/LKDWhdJQFco/7,518,LKDWhdJQFco,7,data/Eartha_Kitt/1.6/8jEAjG6SegY/32,365,8jEAjG6SegY,32
data/Edgar_Wright/1.6/FDhJhEu0JUM/12,943,FDhJhEu0JUM,12,data/Ezra_Miller/1.6/e-IdJ8a4gy4/8,106,e-IdJ8a4gy4,8
data/Elaine_Hendrix/1.6/o-L8P0xj3qk/3,781,o-L8P0xj3qk,3,data/Eli_Roth/1.6/u3s9xdUlmmk/8,753,u3s9xdUlmmk,8
data/Eric_McCormack/1.6/_BVSKK5mGnY/7,379,_BVSKK5mGnY,7,data/Eric_Braeden/1.6/KMM3INYWEeY/3,364,KMM3INYWEeY,3
data/Eric_Roberts/1.6/0mtJFC7OJv4/1,687,0mtJFC7OJv4,1,data/Erik_Estrada/1.6/a0S-epXYJME/1,1106,a0S-epXYJME,1
data/Estelle_Harris/1.6/Zs8VK91yVMI/7,518,Zs8VK91yVMI,7,data/Eddie_Izzard/1.6/58VB-LYIoRM/3,113,58VB-LYIoRM,3
data/Edgar_Wright/1.6/AeZoMAJ4Ejs/4,943,AeZoMAJ4Ejs,4,data/Eli_Roth/1.6/Ma_3RlzPUOM/1,753,Ma_3RlzPUOM,1
data/Eddie_Izzard/1.6/prqT1CcDqMc/2,113,prqT1CcDqMc,2,data/Ezra_Miller/1.6/_z_BR0ERa9g/2,106,_z_BR0ERa9g,2
data/Eric_Roberts/1.6/0mtJFC7OJv4/2,687,0mtJFC7OJv4,2,data/Eoin_Macken/1.6/k1jiAINXHRI/13,1015,k1jiAINXHRI,13
data/Eugenio_Derbez/1.6/7IIlj0cmQOI/3,1066,7IIlj0cmQOI,3,data/Eddie_McClintock/1.6/pV6cJibX6Ik/1,699,pV6cJibX6Ik,1
data/Eddie_Kaye_Thomas/1.6/s7vZT3_8Smo/6,865,s7vZT3_8Smo,6,data/Elodie_Yung/1.6/sf4uMnkYFG8/13,270,sf4uMnkYFG8,13
data/Eddie_Izzard/1.6/8cfyJEV7hP8/9,113,8cfyJEV7hP8,9,data/Emile_Hirsch/1.6/0bA1AJCGEOo/2,158,0bA1AJCGEOo,2
data/Erik_Estrada/1.6/U_1vfIVOigA/13,1106,U_1vfIVOigA,13,data/Eleanor_Tomlinson/1.6/s4X9cwCCnFo/4,906,s4X9cwCCnFo,4
data/Emraan_Hashmi/1.6/57KbI2UvGss/15,457,57KbI2UvGss,15,data/Edward_Asner/1.6/s_rtHBpzrQc/5,16,s_rtHBpzrQc,5
data/Eddie_McClintock/1.6/CVUXDNZzcmA/2,699,CVUXDNZzcmA,2,data/Emily_Atack/1.6/ibDSPLFJIu0/1,871,ibDSPLFJIu0,1
data/Eddie_Izzard/1.6/8cfyJEV7hP8/3,113,8cfyJEV7hP8,3,data/Eugenio_Derbez/1.6/Piw0wvQbpnQ/11,1066,Piw0wvQbpnQ,11
data/Eugene_Levy/1.6/hDBMV_0Vz4E/11,166,hDBMV_0Vz4E,11,data/Emily_Atack/1.6/iPZGPcrYIZs/8,871,iPZGPcrYIZs,8
data/Eva_Green/1.6/WOjNZFtRwDg/5,833,WOjNZFtRwDg,5,data/Eugenio_Derbez/1.6/nJbBcMdxQU4/15,1066,nJbBcMdxQU4,15
data/Eartha_Kitt/1.6/8jEAjG6SegY/10,365,8jEAjG6SegY,10,data/Eoin_Macken/1.6/TnOGBL8p-RM/3,1015,TnOGBL8p-RM,3
